Job_Duration|Data_Volume|Nbr_Components
33447|39387|9
33447|39600|9
33447|39593|9
33447|39680|9
33447|41401|9
26303|8414|5
33447|39605|9
26303|8429|5
26303|8405|5
26303|8437|5
26303|8411|5
26303|8404|5
33447|39614|9
26303|8409|5
26303|8398|5
26303|8392|5
33447|39764|9
26303|8399|5
33447|39742|9
33447|39862|9
33447|39689|9
33447|39901|9
33447|39299|9
33447|39229|9
33447|39571|9
33447|39351|9
33447|39247|9
33447|39297|9
26303|8456|5
24692|16021|5
33447|39605|9
26303|8431|5
24692|16002|5
26303|8408|5
26303|8442|5
26303|8396|5
33447|39953|9
33447|39746|9
26303|8402|5
26610|19850|5
26610|19891|5
26610|19934|5
26610|19940|5
26610|19868|5
28605|47888|6
28605|47915|6
33447|39881|9
33447|39916|9
33447|39943|9
33447|83174|9
33447|83696|9
33447|83193|9
33447|83542|9
33447|83523|9
33447|83465|9
33447|83453|9
33447|83499|9
33447|83360|9
28605|47936|6
28605|48110|6
28605|47963|6
33447|83532|9
33447|83381|9
33447|83652|9
33447|83492|9
33447|83890|9
33447|83811|9
33447|83928|9
33447|83889|9
33447|83765|9
33447|83951|9
33447|83954|9
33447|83928|9
33447|83930|9
33447|83930|9
33447|83936|9
33447|83788|9
33447|83938|9
33447|83967|9
33447|83960|9
33447|83923|9
33447|83930|9
33447|83934|9
33447|83934|9
33447|83917|9
33447|83932|9
33447|83934|9
28605|48514|6
28605|48068|6
28605|48427|6
28605|47995|6
33447|83934|9
33447|83928|9
33447|83934|9
28605|48401|6
33447|84016|9
33447|83988|9
33447|83988|9
33447|83988|9
33447|83986|9
33447|83988|9
33447|83986|9
33447|83993|9
33447|83988|9
28605|48312|6
28605|48066|6
33447|83988|9
33447|84016|9
33447|84016|9
33447|83988|9
33447|83988|9
33447|83989|9
28605|47997|6
33447|84156|9
33447|83994|9
33447|83973|9
33447|83994|9
33447|83973|9
33447|83994|9
33447|83984|9
33447|83974|9
33447|84014|9
33447|83973|9
33447|83973|9
33447|83985|9
33447|84016|9
33447|84254|9
33447|83986|9
33447|83986|9
33447|83987|9
33447|84156|9
33447|84435|9
33447|83988|9
33447|83988|9
33447|83997|9
33447|84293|9
33447|84338|9
33447|84015|9
33447|84492|9
28605|47987|6
28605|48680|6
33447|84423|9
33447|84016|9
33447|83988|9
28605|48244|6
33447|83979|9
33447|83973|9
33447|83986|9
28605|47837|6
28605|48467|6
28605|47847|6
28605|48109|6
28605|47932|6
28605|47833|6
28605|47813|6
28605|48061|6
28605|47927|6
28605|48007|6
28605|47980|6
28605|48323|6
28605|48089|6
28605|47910|6
33447|84003|9
24692|16012|5
33447|84466|9
33447|38082|9
33447|84648|9
33447|37978|9
24692|16019|5
33447|84423|9
33447|37991|9
24692|16004|5
33447|38255|9
33447|38130|9
33447|38236|9
33447|38125|9
33447|38150|9
33447|38292|9
24692|16011|5
33447|38228|9
33447|38318|9
33447|38297|9
24692|15984|5
24692|16025|5
24692|15995|5
24692|16063|5
24692|16066|5
24692|16052|5
24692|16056|5
24692|16127|5
24692|16038|5
24692|16042|5
24692|16057|5
24692|16097|5
33447|38479|9
33447|38465|9
33447|38487|9
33447|38545|9
33447|38390|9
33447|38512|9
33447|38390|9
33447|38426|9
33447|38412|9
33447|38261|9
33447|38431|9
33447|38380|9
33447|38445|9
24692|16039|5
33447|38210|9
33447|38228|9
33447|38228|9
33447|38758|9
24692|16129|5
24692|16076|5
24692|16135|5
24692|16023|5
24692|15988|5
24692|16068|5
24692|16036|5
24692|16027|5
24692|16043|5
33447|38819|9
33447|38844|9
33447|38901|9
24692|16105|5
33447|38823|9
33447|38591|9
33447|38713|9
24692|16059|5
33447|38775|9
33447|38574|9
33447|40050|9
33447|40050|9
33447|40170|9
33447|40256|9
33447|40431|9
33447|40109|9
24692|16078|5
24692|15976|5
24692|16062|5
24692|16103|5
24692|16009|5
24692|16028|5
33447|40235|9
33447|40487|9
33447|40260|9
24692|15983|5
33447|40211|9
33447|40941|9
33447|40918|9
33447|40884|9
33447|41068|9
29138|101280|4
33447|40983|9
33447|41044|9
33447|41244|9
33447|40881|9
33447|40808|9
33447|40835|9
29138|100950|4
33447|40725|9
33447|40855|9
33447|41003|9
33447|41065|9
33447|41154|9
33447|41144|9
33447|41090|9
33447|41172|9
33447|41063|9
33447|41136|9
33447|41045|9
33447|41129|9
33447|41163|9
33447|41146|9
33447|41075|9
33447|41081|9
33447|41109|9
33447|41105|9
33447|41075|9
33447|41133|9
33447|41534|9
33447|41181|9
33447|41364|9
33447|41349|9
33447|41273|9
33447|41351|9
33447|41349|9
33447|41294|9
33447|41391|9
33447|41341|9
26303|8435|5
